Restaurant,Dish,Stars,Price Range
Al-Hana,spinach pie,4.0,1
Byblos Restaurant,spinach pie,4.0,2
Stephano's Greek & Mediterranean Grill,spinach pie,4.0,2
Paymon's Mediterranean Cafe & Hookah Lounge,spinach pie,3.5,2
Babylon Gyros & Shish Kabobs,spinach pie,4.0,1
Middle Eastern Bakery & Deli,spinach pie,4.5,1
Fattoush Restaurant,spinach pie,3.5,1
Mijana,spinach pie,3.5,2
Cleopatra,spinach pie,3.0,2
Ali Baba Cuisine,spinach pie,3.0,2
Baiz Market,spinach pie,4.0,1
Amena Bakery & Deli,spinach pie,4.5,1
Rania's Kabob Grill,kabob,4.5,2
Manna Mediterranean,kabob,3.0,1
Byblos Restaurant,kabob,4.0,2
Habib's Persian Cuisine,kabob,3.0,2
Pita House,kabob,3.0,2
Yusef's Middle Eastern Restaurant Grocery & Deli,kabob,4.0,1
Shawarma Vegas,kabob,3.5,2
Paprika Mediterranean Experience,kabob,4.0,2
Yalla Mediterranean Grill,kabob,4.0,1
Ali Baba's Cafe,kabob,4.0,1
Phoenicia Cafe,kabob,4.0,1
Pars Persian Cuisine,kabob,4.0,2
Amena Bakery & Deli,kabob,4.5,1
People's Bakery,kabob,4.0,1
Marrakech Moroccan Restaurant,kabob,4.0,3
The Mediterranean Grill,kabob,4.5,2
Babylon Gyros & Shish Kabobs,kabob,4.0,1
Shish Cafe Inc,kabob,4.0,2
Cafe Istanbul & Market,kabob,4.0,2
Baiz Market,kabob,4.0,1
Afandi Restaurant and Market,kabob,4.0,1
Persian Room,kabob,4.0,2
Princess Mediterranean Market & Deli,kabob,4.5,1
Khoury's Mediterranean Restaurant,kabob,3.5,2
Haji-Baba,kabob,4.5,1
Middle Eastern Bakery & Deli,kabob,4.5,1
Fattoush Restaurant,kabob,3.5,1
Athens Bar & Grill,kabob,4.0,1
Cleopatra,kabob,3.0,2
Ali Baba Cuisine,kabob,3.0,2
Mijana,kabob,3.5,2
Filfila Mediterranean Cafe,kabob,4.0,1
Kabob Grill,kabob,4.0,1
Sababa,kabob,4.0,2
Al-Hana,kabob,4.0,1
Tasty Kabob,kabob,4.0,2
Stephano's Greek & Mediterranean Grill,kabob,4.0,2
Paymon's Mediterranean Cafe & Hookah Lounge,kabob,3.5,2
Hedary's Mediterranean Restaurant,kabob,4.0,2
Shish Kabob House,kabob,4.0,2
Almaza Hookah Cafe,kabob,2.5,2
Flaming Kabob,kabob,3.5,1
Pita Shack,kabob,4.0,1
Rania's Kabob Grill,shawarma,4.5,2
Manna Mediterranean,shawarma,3.0,1
Byblos Restaurant,shawarma,4.0,2
Habib's Persian Cuisine,shawarma,3.0,2
Pita House,shawarma,3.0,2
Yusef's Middle Eastern Restaurant Grocery & Deli,shawarma,4.0,1
Shawarma Vegas,shawarma,3.5,2
Paprika Mediterranean Experience,shawarma,4.0,2
Yalla Mediterranean Grill,shawarma,4.0,1
Pita Heaven,shawarma,3.5,1
Ali Baba's Cafe,shawarma,4.0,1
Phoenicia Cafe,shawarma,4.0,1
Pars Persian Cuisine,shawarma,4.0,2
Gyro House,shawarma,4.5,1
Amena Bakery & Deli,shawarma,4.5,1
People's Bakery,shawarma,4.0,1
Marrakech Moroccan Restaurant,shawarma,4.0,3
Juba,shawarma,4.5,1
Ammos Mediterranean Grill,shawarma,4.0,1
The Mediterranean Grill,shawarma,4.5,2
Babylon Gyros & Shish Kabobs,shawarma,4.0,1
Hanam's,shawarma,3.5,2
Shish Cafe Inc,shawarma,4.0,2
Cafe Istanbul & Market,shawarma,4.0,2
Baiz Market,shawarma,4.0,1
Afandi Restaurant and Market,shawarma,4.0,1
Persian Room,shawarma,4.0,2
Princess Mediterranean Market & Deli,shawarma,4.5,1
Khoury's Mediterranean Restaurant,shawarma,3.5,2
Haji-Baba,shawarma,4.5,1
Sahara Middle Eastern Restaurant,shawarma,4.0,2
